AMKR,Amkor Technology,9.55,8.95,9.34,2290000,0.21,2.3
AMNB,American Natl Bksh,27.75,27.11,27.51,8900,-0.26,0.94
AMOT,Allied Motion Tech,18.67,18.33,18.44,42400,-0.24,1.28
AMOV,America Movil A Ads,11.38,11.18,11.22,2500,-0.29,2.52
AMPH,Amphastar Pharma Cmn,20.17,19.26,19.58,776800,-0.49,2.44
AMRB,American River Bkshs,10.62,10.61,10.61,300,-0.02,0.19
AMRI,Albany Molecular Res,16.24,15.89,16,202500,-0.2,1.23
AMRK,A-Mark Precious Meta,16.49,15.98,16.05,9300,-0.54,3.25
AMRN,Amarin Corp Ads,3.15,2.93,3.12,10178800,0.18,6.12
AMRS,Amyris Inc,0.51,0.47,0.49,1664100,0.01,2.08
AMSC,Amer Superconductor,6.94,6.6,6.89,48300,0.06,0.88
AMSF,Amerisafe Inc,59.01,58.46,58.5,105600,-0.42,0.71
AMSG,Amsurg Corp Com,66.18,63.18,64.51,1059100,-0.27,0.42
AMSGP,Amsurg 5.25 Pfd A-1,121.4,120.6,121.4,400,-1.5,1.23
AMSWA,Amer Software Inc,10.99,10.84,10.85,27300,-0.14,1.27
AMTD,TD Ameritrade HD Cmn,33.01,32.4,32.55,1765100,-0.57,1.72
AMTX,Aemetis Inc Cmn Stk,1.32,1.23,1.3,3800,0.04,3.17
AMWD,Amer Woodmark Cp,82.01,78.48,81.06,116600,0.33,0.41
AMZN,Amazon.Com Inc,805.9,797.2,799.2,2651100,-6.6,0.82
ANAT,Amer Natl Insurance,120.7,119,119.4,26500,-0.9,0.73
ANCB,Anchor Bancorp,25.45,25.45,25.45,100,0.25,0.99
ANCX,Access National Corp,23.6,23.45,23.45,9000,-0.1,0.42
ANDA,Andina Acq Cp Ord Sh,9.86,9.86,9.86,100,0,0
ANDAR,Andina Acq Cp Rt,0.28,0.28,0.28,2900,0,0
ANDAU,Andina Acq Cp Unit,10.3,10.3,10.3,700,0,0
ANDAW,Andina Acq Cp Wt,0.17,0.17,0.17,100,-0.01,5.56
ANDE,Andersons Inc,36.95,34.25,34.79,647300,0.05,0.14
ANGI,Angie's List Inc,10.24,10.02,10.05,173900,-0.2,1.95
ANGO,Angiodynamics Inc,17.43,17.12,17.17,95500,-0.23,1.32
ANIK,Anika Therapeutics,46.76,45.78,45.82,101200,-1.1,2.34
ANIP,ANI Pharma Inc,66.63,65.11,65.36,111600,-1.28,1.92
ANSS,Ansys Inc,92.42,91.34,91.42,344600,-0.88,0.95
ANTH,Anthera Pharmaceutic,3.2,3.12,3.16,225100,-0.03,0.94
ANY,Sphere 3D Corp.,0.47,0.4,0.47,689900,0.02,4.44
AOSL,Alpha and Omega Semi,20.57,20.16,20.39,126200,-0.27,1.31
APDN,Applied Dna Scns Cmn,3.19,3.02,3.16,30200,0.08,2.6
